# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    7.282282282    3.348209908    3.325929362    3.320358014
    7.297297297    3.354979439    3.325333845    3.317868328
    7.312312312    3.397193974    3.364583115    3.356357971
    7.327327327    3.454584274    3.425150914    3.417733602
    7.342342342    3.503641042    3.483643070    3.478624550
    7.357357357    3.525392462    3.517524906    3.515598131
    7.372372372    3.508115606    3.511390166    3.512309389
    7.387387387    3.453709098    3.465973637    3.469176256
    7.402402402    3.384124610    3.401356862    3.405795002
    7.417417417    3.325400975    3.339937317    3.343661466
    7.432432432    3.284660164    3.289338863    3.290559998
    7.447447447    3.242709138    3.237074990    3.235706511
    7.462462462    3.175944517    3.167275347    3.165157276
    7.477477477    3.082848129    3.080778710    3.080329396
    7.492492492    2.982196320    2.991632410    2.994082767
    7.507507508    2.893457745    2.911134302    2.915665728
    7.522522523    2.817361117    2.835286425    2.839890858
    7.537537538    2.745577612    2.757221268    2.760243040
    7.552552553    2.683221166    2.685350662    2.685952430
    7.567567568    2.645177922    2.637097272    2.635083614
    7.582582583    2.638673517    2.621290219    2.616887386
    7.597597598    2.661765774    2.635847982    2.629266379
    7.612612613    2.708697463    2.675167514    2.666658030
    7.627627628    2.768316533    2.730375163    2.720759285
    7.642642643    2.823500910    2.787302120    2.778148214
    7.657657658    2.854446297    2.827466762    2.820686922
    7.672672673    2.840379896    2.830367212    2.827937856
    7.687687688    2.776856107    2.788932855    2.792123420
    7.702702703    2.695221429    2.726728110    2.734804417
    7.717717718    2.635204902    2.676468398    2.686949128
    7.732732733    2.603165416    2.644743810    2.655249123
    7.747747748    2.577742278    2.615120195    2.624531055
    7.762762763    2.539486353    2.570983161    2.578898751
    7.777777778    2.484563250    2.508871936    2.514981441
    7.792792793    2.422767779    2.439548705    2.443771969
    7.807807808    2.367206748    2.375675908    2.377813250
    7.822822823    2.324459210    2.322319259    2.321793873
    7.837837838    2.293390069    2.279523448    2.276062174
    7.852852853    2.268614655    2.244876492    2.238953571
    7.867867868    2.247084563    2.216532460    2.208910207
    7.882882883    2.229466329    2.196030708    2.187681775
    7.897897898    2.213851471    2.183400266    2.175792898
    7.912912913    2.199747808    2.176853882    2.171135932
    7.927927928    2.195058651    2.179576628    2.175704359
    7.942942943    2.204459083    2.194043790    2.191427898
    7.957957958    2.218588043    2.212974800    2.211558784
    7.972972973    2.225709993    2.226369864    2.226533178
    7.987987988    2.221612380    2.230410181    2.232631690
    8.003003003    2.205512459    2.224505994    2.229305641
    8.018018018    2.184627176    2.213166174    2.220360476
    8.033033033    2.178556288    2.209913548    2.217786540
    8.048048048    2.196143606    2.219245762    2.225020539
    8.063063063    2.219070336    2.226710034    2.228608786
    8.078078078    2.219487694    2.214972829    2.213850427
    8.093093093    2.183715450    2.177558486    2.176050350
    8.108108108    2.120285508    2.120987927    2.121210120
    8.123123123    2.046699333    2.055865712    2.058211542
    8.138138138    1.975465077    1.988884520    1.992300971
    8.153153153    1.913560240    1.925055274    1.927999322
    8.168168168    1.860073518    1.865601231    1.867060139
    8.183183183    1.810895932    1.810097520    1.809974570
    8.198198198    1.766582372    1.761743218    1.760599293
    8.213213213    1.731657162    1.725095495    1.723499230
    8.228228228    1.709756788    1.702355080    1.700519937
    8.243243243    1.706519180    1.697477336    1.695197931
    8.258258258    1.728252620    1.715711165    1.712517929
    8.273273273    1.773422856    1.756618772    1.752323908
    8.288288288    1.831809280    1.811603457    1.806442189
    8.303303303    1.891250254    1.868038973    1.862137280
    8.318318318    1.944370198    1.918492501    1.911950659
